"","year","period","date","Bread","Beef","Chicken","Eggs","Milk","Cheese","Apples","Oranges"
"468",2018,"M12",2018-12-01,1.924,3.709,1.466,1.595,2.853,3.944,NA,1.389
"469",2019,"M01",2019-01-01,1.94,3.727,1.473,1.554,2.913,3.922,NA,1.344
"470",2019,"M02",2019-02-01,1.951,3.847,1.486,1.557,2.9,3.863,NA,1.298
"471",2019,"M03",2019-03-01,1.962,3.831,1.468,1.544,2.944,3.924,NA,1.346
"472",2019,"M04",2019-04-01,1.952,3.907,1.463,1.463,2.98,3.928,NA,1.28
"473",2019,"M05",2019-05-01,1.941,4.023,1.479,1.362,2.963,3.869,NA,1.331
"474",2019,"M06",2019-06-01,1.905,3.951,1.59,1.203,3.054,3.844,NA,1.296
"475",2019,"M07",2019-07-01,1.951,4.001,1.562,1.243,3.031,3.772,NA,1.411
"476",2019,"M08",2019-08-01,1.94,4.019,1.514,1.219,3.045,3.873,NA,1.442
"477",2019,"M09",2019-09-01,1.935,3.885,1.487,1.383,3.102,3.875,NA,1.426
"478",2019,"M10",2019-10-01,1.948,4.027,1.538,1.282,3.119,3.821,NA,1.47
"479",2019,"M11",2019-11-01,1.943,3.993,1.43,1.405,3.189,3.917,NA,1.429
"480",2019,"M12",2019-12-01,1.964,4.066,1.45,1.535,3.188,3.909,NA,1.327
"481",2020,"M01",2020-01-01,1.961,4.1,1.409,1.461,3.253,3.847,NA,1.244
"482",2020,"M02",2020-02-01,1.986,4.033,1.362,1.449,3.196,3.912,NA,1.218
"483",2020,"M03",2020-03-01,1.994,4.108,1.4,1.525,3.248,3.907,NA,1.174
